PrimaryID,CEI,OT,HRES,NED,NECM,NEI,MCNCP2,NEW,TCED,MCED,MCIND,TNCID,NCIO,CEO,NCP,MINCP,MCMNCP,MCNCP1,LPP,CNWP,CNCM,CND,CNFP,CNSP
588378,0,1,0,1,1,0,0,0,7,6,0,0,0,0,0,0,0,0,9797,2,3,3,2,0
2510525,0,0,0,1,1,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,1,1,1,0
148600,0,0,0,1,1,0,0,6,5,4,0,0,0,5,0,0,0,0,32,33,13,8,1,34
2228923,0,0,0,0,0,0,0,1,0,0,0,0,0,101,0,0,0,0,0,1,1,1,38,0
1274906,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,6715,4,1,1,0,15
2669696,0,0,0,2,2,0,0,0,2540,1470,0,0,0,1471,0,0,0,0,3486,0,2,2,1,1
1274903,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,6715,4,1,1,0,9
2228915,0,0,0,2,2,0,0,3,10,8,1,1,1,9,0,0,0,0,5361,3,2,2,15,9
2228912,0,1,0,2,2,0,0,1,27,19,1,1,0,0,0,0,0,0,7148,1,2,2,2,1
274016,0,0,0,2,3,2,0,10,233,222,14,14,14,223,0,0,0,0,7148,13,3,3,2,15
2510511,0,0,0,0,0,0,0,0,0,0,0,0,55,394,0,0,0,0,6715,0,1,1,3,1
2228873,0,0,0,1,1,0,0,1,41,40,0,0,1,19,0,0,0,0,16,2,1,1,3,6
2510480,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,1,2,1
711802,0,1,0,1,1,0,0,0,333,332,20,20,0,0,0,0,0,0,0,2,2,2,23,0
2669746,0,0,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,9797,0,1,1,0,1
1521726,0,0,0,1,1,0,0,1,144,143,0,0,0,144,0,0,0,0,0,1,1,1,2,0
2228867,0,0,0,1,1,0,0,1,9,8,0,0,0,9,0,0,0,0,495,1,1,1,1,2
954478,0,0,0,1,1,0,0,1,529,528,5,5,5,529,0,0,0,0,1017,1,1,1,2,1
2510495,0,0,0,1,1,0,0,0,62,61,2,2,2,62,0,0,0,0,5361,0,2,2,0,1
